#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
616,1750.400000,1140.550000
618,1805.150000,1193.700000
620,1879.900000,1266.600000
622,1874.150000,1259.000000
624,1867.300000,1250.350000
626,1872.200000,1253.600000
628,1926.850000,1306.600000
630,1999.450000,1377.400000
632,2045.000000,1421.100000
634,1995.500000,1369.750000
636,2044.450000,1417.000000
638,2078.700000,1449.700000
640,2139.500000,1508.600000
642,2149.750000,1517.250000
644,2172.650000,1538.400000
646,2115.100000,1479.200000
648,2135.850000,1498.250000
650,2200.350000,1561.150000
652,2303.300000,1662.350000
654,2328.800000,1686.400000
656,2482.700000,1838.550000
658,2453.050000,1807.150000
660,2376.750000,1729.300000
662,2464.650000,1815.700000
664,2529.150000,1878.500000
666,2456.150000,1803.850000
668,2560.500000,1906.450000
670,2498.300000,1842.500000
672,2492.500000,1835.000000
674,2594.850000,1935.700000
676,2618.500000,1957.750000
678,2605.050000,1942.700000
680,2598.800000,1935.000000
682,2742.500000,2076.850000
684,2625.250000,1958.050000
686,2712.050000,2043.150000
688,2645.650000,1975.200000
690,2740.950000,2068.950000
692,2785.100000,2111.500000
694,2749.700000,2074.750000
696,2878.750000,2202.350000
698,2736.850000,2058.750000
700,2760.650000,2081.350000
702,2865.050000,2184.250000
704,2850.800000,2168.550000
706,2762.650000,2078.800000
708,2886.750000,2201.550000
710,3062.600000,2375.650000
712,2942.450000,2254.000000
714,2980.150000,2290.050000
716,3033.700000,2342.100000
718,2941.550000,2248.500000
720,2927.250000,2232.800000
722,2997.750000,2301.850000
724,3018.450000,2321.100000
726,2989.600000,2290.900000
728,3044.150000,2343.950000
730,3147.700000,2446.350000
732,3196.000000,2493.250000
734,3165.300000,2461.050000
736,3211.650000,2505.700000
738,3208.450000,2500.900000
740,3161.850000,2452.900000
742,3325.650000,2615.350000
744,3492.150000,2780.650000
746,3291.150000,2578.350000
748,3263.500000,2549.400000
750,3358.900000,2643.600000
752,3366.400000,2649.800000
754,3324.450000,2606.500000
756,3376.700000,2657.650000
758,3305.400000,2585.250000
760,3442.750000,2721.250000
762,3361.600000,2639.150000
764,3444.850000,2721.050000
766,3584.300000,2859.150000
768,3535.850000,2809.400000
770,3465.400000,2737.750000
772,3459.100000,2730.400000
774,3498.600000,2768.700000
776,3650.650000,2919.450000
778,3575.300000,2842.700000
780,3534.150000,2800.450000
782,3537.450000,2802.850000
784,3653.250000,2917.450000
786,3644.000000,2907.050000
788,3576.800000,2838.500000
790,3531.300000,2791.950000
792,3696.700000,2956.100000
794,3838.950000,3097.100000
796,3870.800000,3127.500000
798,3730.150000,2985.750000
800,3662.550000,2917.000000
802,3872.800000,3125.700000
804,3771.400000,3023.000000
806,3655.250000,2905.900000
808,3673.900000,2923.600000
810,3697.200000,2945.900000
812,3780.850000,3028.300000
814,3831.450000,3077.350000
816,3788.850000,3033.250000
818,3702.250000,2945.500000
820,3755.800000,2998.100000
822,3871.600000,3112.900000
824,3807.800000,3048.000000
826,3783.150000,3022.400000
828,3858.400000,3096.450000
830,3862.650000,3099.750000
832,3982.050000,3218.000000
834,3750.550000,2985.400000
836,3858.450000,3092.150000
838,3842.800000,3075.450000
840,3794.650000,3026.400000
842,4037.750000,3268.250000
844,3917.300000,3146.700000
846,3848.950000,3077.200000
848,3789.300000,3016.600000
850,3750.650000,2977.050000
852,3797.750000,3023.250000
854,3814.000000,3038.750000
856,3824.150000,3047.900000
858,3834.650000,3057.250000
860,3835.450000,3057.000000
862,3860.800000,3081.250000
864,3925.750000,3145.100000
866,3980.900000,3199.150000
868,4037.400000,3254.600000
870,4025.050000,3241.150000
872,3834.100000,3049.300000
874,4077.200000,3291.100000
876,4046.900000,3259.750000
878,4099.850000,3311.550000
880,4130.700000,3341.250000
882,3946.250000,3155.950000
884,4022.500000,3231.200000
886,4074.850000,3282.650000
888,4025.800000,3232.700000
890,4085.800000,3291.950000
892,4225.000000,3429.900000
894,4026.900000,3230.800000
896,4104.100000,3307.000000
898,4044.250000,3246.400000
900,4065.150000,3266.450000
902,4038.850000,3239.400000
904,4082.650000,3282.300000
906,4142.800000,3341.400000
908,3946.200000,3144.100000
910,4110.800000,3307.750000
912,4293.300000,3489.100000
914,4111.800000,3306.700000
916,4144.300000,3338.150000
918,4119.650000,3312.750000
920,4088.050000,3280.250000
922,4128.250000,3319.700000
924,4227.600000,3418.200000
926,4269.350000,3459.150000
928,4131.750000,3320.650000
930,4123.800000,3311.900000
932,4099.200000,3286.550000
934,4242.400000,3428.850000
936,3950.550000,3136.450000
938,4192.300000,3377.300000
940,4144.450000,3328.750000
942,4214.600000,3398.000000
944,4220.950000,3403.500000
946,4198.000000,3379.800000
948,4238.400000,3419.350000
950,4077.100000,3257.550000
952,4205.200000,3385.000000
954,4144.100000,3323.200000
956,4323.950000,3502.000000
958,4161.850000,3339.150000
960,4093.300000,3270.100000
962,4107.250000,3283.350000
964,4119.900000,3295.150000
966,4091.550000,3266.150000
968,4310.800000,3484.500000
970,4198.950000,3372.000000
972,4467.000000,3638.850000
974,4175.550000,3346.800000
976,4360.700000,3531.000000
978,4242.400000,3411.850000
980,4400.250000,3568.700000
982,4324.400000,3492.000000
984,4291.850000,3458.700000
986,4302.150000,3468.250000
988,4339.350000,3504.700000
990,4263.800000,3428.400000
992,4303.900000,3467.750000
994,4321.650000,3484.750000
996,4263.850000,3426.350000
998,4163.650000,3325.600000
