#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
720,3356.150000,2661.700000
722,3351.950000,2656.050000
724,3394.250000,2696.900000
726,3395.550000,2696.850000
728,3507.150000,2806.950000
730,3489.300000,2787.950000
732,3440.950000,2738.200000
734,3500.550000,2796.300000
736,3472.700000,2766.750000
738,3474.100000,2766.550000
740,3386.100000,2677.150000
742,3648.850000,2938.550000
744,3586.100000,2874.600000
746,3401.850000,2689.050000
748,3379.500000,2665.400000
750,3368.750000,2653.450000
752,3460.350000,2743.750000
754,3444.950000,2727.000000
756,3434.250000,2715.200000
758,3358.600000,2638.450000
760,3463.650000,2742.150000
762,3484.300000,2761.850000
764,3501.150000,2777.350000
766,3544.050000,2818.900000
768,3615.650000,2889.200000
770,3515.100000,2787.450000
772,3505.300000,2776.600000
774,3573.550000,2843.650000
776,3597.400000,2866.200000
778,3666.000000,2933.400000
780,3657.550000,2923.850000
782,3615.200000,2880.600000
784,3536.550000,2800.750000
786,3551.800000,2814.850000
788,3560.000000,2821.700000
790,3526.800000,2787.450000
792,3548.850000,2808.250000
794,3765.700000,3023.850000
796,3898.950000,3155.650000
798,3686.550000,2942.150000
800,3695.550000,2950.000000
802,3761.200000,3014.100000
804,3699.950000,2951.550000
806,3577.150000,2827.800000
808,3540.100000,2789.800000
810,3651.050000,2899.750000
812,3748.950000,2996.400000
814,3939.550000,3185.450000
816,3861.850000,3106.250000
818,3768.150000,3011.400000
820,3770.550000,3012.850000
822,3720.800000,2962.100000
824,3606.400000,2846.600000
826,3669.250000,2908.500000
828,3732.850000,2970.900000
830,3689.150000,2926.250000
832,3645.950000,2881.900000
834,3598.350000,2833.200000
836,3712.400000,2946.100000
838,3676.600000,2909.250000
840,3667.950000,2899.700000
842,3627.800000,2858.300000
844,3677.100000,2906.500000
846,3677.250000,2905.500000
848,3770.750000,2998.050000
850,3745.900000,2972.300000
852,3606.800000,2832.300000
854,3535.550000,2760.300000
856,3683.550000,2907.300000
858,3782.250000,3004.850000
860,3784.850000,3006.400000
862,3870.800000,3091.250000
864,3965.700000,3185.050000
866,3950.700000,3168.950000
868,3882.200000,3099.400000
870,3796.450000,3012.550000
872,3730.300000,2945.500000
874,4025.150000,3239.050000
876,4079.350000,3292.200000
878,4054.800000,3266.500000
880,4111.800000,3322.350000
882,3923.750000,3133.450000
884,3901.650000,3110.350000
886,3706.150000,2913.950000
888,3793.350000,3000.250000
890,3733.500000,2939.650000
892,3992.550000,3197.450000
894,3861.000000,3064.900000
896,3923.600000,3126.500000
898,3790.550000,2992.700000
900,3834.650000,3035.950000
902,3825.250000,3025.800000
904,3874.850000,3074.500000
906,3998.700000,3197.300000
908,3710.750000,2908.650000
910,3909.800000,3106.750000
912,4005.150000,3200.950000
914,3881.200000,3076.100000
916,3982.450000,3176.300000
918,3927.450000,3120.550000
920,3904.200000,3096.400000
922,3863.900000,3055.350000
924,3795.350000,2985.950000
926,3775.200000,2965.000000
928,3872.150000,3061.050000
930,3748.700000,2936.800000
932,3881.350000,3068.700000
934,3965.950000,3152.400000
936,3661.300000,2847.200000
938,3770.850000,2955.850000
940,3795.400000,2979.700000
942,3770.300000,2953.700000
944,3787.650000,2970.200000
946,3817.200000,2999.000000
948,3717.400000,2898.350000
950,3710.750000,2891.200000
952,3769.300000,2949.100000
954,3704.350000,2883.450000
956,3734.700000,2912.750000
958,3847.600000,3024.900000
960,3775.950000,2952.750000
962,3678.500000,2854.600000
964,3683.850000,2859.100000
966,3697.550000,2872.150000
968,3922.450000,3096.150000
970,3944.550000,3117.600000
972,3966.800000,3138.650000
974,3746.200000,2917.450000
976,3883.400000,3053.700000
978,3768.000000,2937.450000
980,3965.550000,3134.000000
982,3850.300000,3017.900000
984,3849.550000,3016.400000
986,3771.450000,2937.550000
988,3842.350000,3007.700000
990,3800.900000,2965.500000
992,3932.200000,3096.050000
994,3847.650000,3010.750000
996,3841.400000,3003.900000
998,3821.050000,2983.000000
1000,3927.250000,3088.450000
1002,3857.600000,3017.850000
1004,3936.300000,3095.750000
1006,3961.200000,3119.900000
1008,3910.100000,3068.150000
1010,3966.200000,3123.500000
1012,4062.850000,3219.400000
1014,4037.050000,3192.550000
1016,3983.800000,3138.650000
1018,3977.250000,3131.300000
1020,4013.050000,3166.250000
1022,4070.550000,3223.100000
1024,3954.550000,3106.600000
1026,3925.450000,3077.100000
1028,3896.550000,3047.350000
1030,3952.900000,3103.050000
1032,4033.750000,3183.250000
1034,3970.150000,3119.050000
1036,3990.700000,3138.900000
1038,4022.900000,3170.350000
1040,4115.100000,3261.550000
1042,3905.450000,3051.500000
1044,3772.300000,2918.100000
1046,4011.150000,3156.000000
1048,3976.350000,3120.650000
1050,3944.150000,3087.900000
1052,3939.250000,3082.700000
1054,3889.850000,3032.700000
1056,3823.050000,2965.350000
1058,3891.600000,3033.250000
1060,3879.150000,3020.200000
1062,3808.850000,2949.300000
1064,3874.650000,3014.500000
1066,3952.200000,3091.350000
1068,4017.400000,3155.850000
1070,3871.500000,3009.300000
1072,3888.700000,3025.950000
1074,3863.350000,3000.000000
1076,3743.350000,2879.500000
1078,3893.150000,3028.700000
1080,3968.750000,3103.650000
1082,3857.200000,2991.600000
1084,3910.600000,3044.350000
1086,3884.350000,3017.500000
1088,3815.100000,2947.700000
1090,3754.850000,2887.000000
1092,3721.700000,2853.400000
1094,3927.550000,3058.450000
1096,3944.200000,3074.450000
1098,3890.550000,3020.350000
1100,3928.000000,3057.250000
1102,3933.300000,3061.850000
1104,3914.800000,3042.750000
1106,3881.700000,3009.000000
1108,3736.900000,2863.750000
1110,3803.350000,2929.750000
1112,3723.900000,2849.800000
1114,3747.400000,2872.650000
1116,3789.950000,2914.550000
1118,3784.300000,2908.250000
1120,3784.000000,2907.550000
1122,3849.800000,2972.700000
1124,3926.700000,3049.050000
1126,3944.550000,3066.250000
1128,3831.050000,2952.150000
1130,3874.550000,2995.150000
1132,3840.000000,2959.900000
1134,4003.150000,3122.350000
1136,3859.050000,2977.650000
1138,3919.800000,3037.850000
1140,3820.950000,2938.650000
1142,3788.850000,2906.050000
1144,3849.950000,2966.650000
1146,3864.800000,2981.000000
1148,3961.000000,3076.650000
1150,3980.200000,3095.350000
1152,3954.050000,3068.650000
1154,3803.500000,2917.750000
1156,3937.400000,3051.150000
1158,3926.450000,3039.750000
1160,3894.250000,3007.100000
1162,3834.200000,2946.600000
1164,3958.900000,3070.700000
1166,3977.450000,3088.650000
1168,3970.050000,3080.600000
1170,3833.500000,2943.650000
1172,3889.700000,2999.300000
1174,3840.300000,2949.450000
1176,3740.200000,2849.150000
1178,3797.750000,2906.250000
1180,3793.050000,2901.200000
1182,3776.250000,2883.900000
1184,3742.700000,2849.950000
1186,3718.950000,2825.750000
1188,3730.150000,2836.600000
1190,3792.600000,2898.600000
1192,3837.450000,2943.000000
1194,3814.300000,2919.400000
1196,3734.200000,2839.050000
1198,3677.600000,2782.200000
1200,3696.550000,2800.650000
1202,3718.550000,2822.100000
1204,3937.950000,3040.900000
1206,3790.300000,2892.650000
1208,3788.050000,2889.950000
1210,3877.900000,2979.250000
1212,3792.300000,2893.450000
1214,3714.600000,2815.450000
1216,3765.300000,2865.550000
1218,3719.250000,2819.150000
1220,3759.250000,2858.700000
1222,3887.750000,2986.700000
1224,3766.450000,2865.050000
1226,3749.300000,2847.600000
1228,3642.650000,2740.600000
1230,3800.400000,2897.800000
1232,3774.650000,2871.700000
1234,3863.400000,2959.950000
1236,3829.550000,2925.750000
1238,3901.150000,2996.800000
1240,3702.850000,2798.300000
1242,3735.300000,2830.150000
1244,3626.650000,2721.250000
1246,3689.150000,2783.300000
1248,3615.850000,2709.650000
1250,3592.650000,2686.150000
1252,3579.000000,2672.300000
1254,3676.050000,2769.000000
1256,3568.100000,2660.650000
1258,3703.250000,2795.250000
1260,3721.300000,2812.800000
1262,3770.700000,2861.900000
1264,3662.750000,2753.650000
1266,3684.950000,2775.600000
1268,3632.450000,2722.850000
1270,3684.000000,2773.950000
1272,3615.900000,2705.700000
1274,3693.550000,2783.000000
1276,3745.550000,2834.500000
1278,3718.500000,2807.150000
1280,3647.050000,2735.250000
1282,3627.700000,2715.550000
1284,3626.300000,2713.950000
1286,3703.350000,2790.400000
1288,3852.300000,2938.800000
1290,3911.250000,2997.350000
1292,3707.600000,2793.450000
1294,3711.450000,2796.950000
1296,3722.250000,2807.350000
1298,3697.500000,2782.050000
1300,3882.500000,2966.300000
1302,3832.900000,2916.400000
1304,3896.300000,2979.350000
1306,3831.250000,2913.900000
1308,3814.500000,2896.850000
1310,3796.750000,2878.700000
1312,3779.500000,2861.150000
1314,3866.200000,2947.550000
1316,3756.350000,2837.250000
1318,3606.850000,2687.600000
1320,3621.250000,2701.650000
1322,3774.250000,2854.200000
1324,3702.650000,2782.300000
1326,3788.450000,2867.600000
1328,3756.900000,2835.750000
1330,3710.600000,2789.200000
1332,3623.150000,2701.600000
1334,3720.450000,2798.300000
1336,3803.150000,2880.700000
1338,3696.550000,2773.950000
1340,3770.700000,2847.900000
1342,3746.150000,2823.000000
1344,3688.100000,2764.550000
1346,3598.450000,2674.800000
1348,3613.950000,2690.050000
1350,3565.100000,2641.100000
1352,3561.600000,2637.350000
