# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
1665,123519,0,QU,NC
1670,123519,0,QU,NC
1675,123519,0,QU,NC
1680,123519,0,QU,NC
1685,124479,0,QU,NC
1690,124479,0,QU,NC
1695,124479,0,QU,NC
1700,124480,0,QU,NC
1705,124480,0,QU,NC
1710,124480,0,QU,NC
1715,124480,0,QU,NC
1720,124480,0,QU,NC
1725,124481,0,QU,NC
1730,124481,0,QU,NC
1735,124482,0,QU,NC
1740,124482,0,QU,NC
1745,124482,0,QU,NC
1750,125446,0,QU,NC
1755,125447,0,QU,NC
1760,126413,0,QU,NC
1765,126413,0,QU,NC
1770,126413,0,QU,NC
1775,126414,0,QU,NC
1780,126414,0,QU,NC
1785,126414,0,QU,NC
1790,126414,0,QU,NC
1795,127382,0,QU,NC
1800,127383,0,QU,NC
1805,127383,0,QU,NC
1810,127383,0,QU,NC
1815,127383,0,QU,NC
1820,127383,0,QU,NC
1825,128353,0,QU,NC
1830,128353,0,QU,NC
1835,128353,0,QU,NC
1840,128353,0,QU,NC
1845,128353,0,QU,NC
1850,128353,0,QU,NC
1855,128354,0,QU,NC
1860,128354,0,QU,NC
1865,128354,0,QU,NC
1870,128355,0,QU,NC
1875,128355,0,QU,NC
1880,128355,0,QU,NC
1885,128355,0,QU,NC
1890,128355,0,QU,NC
1895,129329,0,QU,NC
1900,130304,0,QU,NC
1905,130304,0,QU,NC
1910,131280,0,QU,NC
1915,131280,0,QU,NC
1920,131280,0,QU,NC
1925,131280,0,QU,NC
1930,131280,0,QU,NC
1935,131280,0,QU,NC
1940,131280,0,QU,NC
1945,131280,0,QU,NC
1950,131280,0,QU,NC
1955,131280,0,QU,NC
1960,131280,0,QU,NC
1965,131280,0,QU,NC
1970,132257,0,QU,NC
1975,132257,0,QU,NC
1980,132257,0,QU,NC
1985,132257,0,QU,NC
1990,132257,0,QU,NC
1995,132257,0,QU,NC
2000,132257,0,QU,NC
2005,132257,0,QU,NC
2010,132258,0,QU,NC
2015,132258,0,QU,NC
2020,132258,0,QU,NC
2025,132258,0,QU,NC
2030,132258,0,QU,NC
2035,132258,0,QU,NC
2040,132258,0,QU,NC
